asa_code,regex,explanation
621002,"621002: Interface (?<interface_name>\S+) does not support multicast, not enabled (?<interface_name_2>\S+) does not support multicast, not enabled$",An attempt was made to enable IGMP on an interface that does not support multicast.
621006,"621006: Mrib disconnected, \((?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)),(?<ip_2>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+))\) event cancelled, \((?<ip_3>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) ,(?<ip_4>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) \) event cancelled$","A packet triggering a data-driven event was received, but the connection to the MRIB was down. The notification was canceled."
621007,"621007: Bad register from (?<interface_name>\S+):(?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) to (?<ip_2>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) for \((?<ip_3>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)), (?<ip_4>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+))\) (?<interface_name_2>\S+) :(?<ip_5>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) to (?<ip_6>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) for \((?<ip_7>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) , (?<ip_8>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) \)$",A PIM router configured as a rendezvous point or with NAT has received a PIM register packet from another PIM router. The data encapsulated in this packet is invalid.
622001,"622001: (?<action>\S+) tracked route (?<destination_network>\S+) (?<netmask>\S+) (?<nexthop_address>\S+), distance (?<admin_distance>\S+), table (?<routing_table_name>\S+), on (?<interface>\S+) (?<interface_name>\S+)(?<string>\S+) tracked route (?<italic_text>.+) , distance (?<number>\S+) , table (?<string_2>\S+) , on (?<interface_2>\S+) (?<interface_name_2>\S+)$","A tracked route has been added to or removed from a routing table, which means that the state of the tracked object has changed from up or down."
622101,"622101: Starting regex table compilation for (?<match_command>\S+), table entries = (?<regex_num>\S+) entries$",Information on the background activities of regex compilation appear.
622102,"622102: Completed regex table compilation for (?<match_command>\S+), table size = (?<num>\S+) bytes$",Information on the background activities of the regex compilation appear.
711002,"711002: Task ran for (?<elapsed_time>\S+) msec, Process = (?<process_name>\S+), PC = (?<pc>\S+), Traceback = (?<traceback>\S+)$","A process used the CPU for more than 100 milliseconds. This message is used for debugging CPU purposes, and can appear once every five seconds for each offending process."
711004,"711004: Task ran for (?<dur>\S+) msec, Process = (?<process>[^,]*), PC = (?<pc>[^,]+), Call stack = (?<call_stack>.*)","A process used the CPU for more than 100 milliseconds. This message is used for debugging CPU purposes, and can appear once every five seconds for each offending process."
713004,"713004: (?<device>\S+) scheduled for reboot, IKE key acquire message on (?<interface_2>\S+) (?<italic_text>.+), for peer (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+)) ignored$","The Secure Firewall ASA has received an IKE packet from a remote entity trying to initiate a tunnel. Because the Secure Firewall ASA is scheduled for a reboot or shutdown, it does not allow any more tunnels to be established. The IKE packet is ignored and dropped."
713006,"713006: Group = (?<groupname>\S+), Username = (?<user>\S+), IP = (?<peerip>\S+) Failed to obtain state for message Id (?<message_number>\S+), Peer Address: (?<ip>(?:\[[^\]]+\]|(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)|[0-9a-fA-F:.]+))$","The Secure Firewall ASA does not know about the received message ID. The message ID is used to identify a specific IKE Phase 2 negotiation. An error condition on the Secure Firewall ASA may have occurred, and may indicate that the two IKE peers are out-of-sync."
